                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 2.3031,                 2.5902,                 2.4005,                0.53658,                0.40283,                0.42577,                 0.2487,                 3.1094,                 3.8536,                 3.1061,               0.003598,               0.003598,               0.003598
                     99,                 2.2959,                 2.6044,                 2.4027,                0.53746,                0.38579,                0.41098,                0.24444,                 3.0631,                 3.9263,                 3.0819,               0.003532,               0.003532,               0.003532
                    100,                 2.2668,                 2.5528,                 2.3823,                0.53015,                0.41341,                0.42331,                0.24241,                 3.0788,                 3.8659,                 3.0817,               0.003466,               0.003466,               0.003466
                    101,                 2.2802,                 2.5375,                 2.3849,                0.53506,                0.40968,                 0.4246,                0.24808,                 3.0728,                 3.8542,                 3.0848,                 0.0034,                 0.0034,                 0.0034
                    102,                 2.2542,                 2.5026,                 2.3752,                0.52002,                0.41273,                0.42504,                0.25056,                 3.0358,                  3.862,                 3.0631,               0.003334,               0.003334,               0.003334
                    103,                 2.2807,                 2.4928,                 2.3779,                0.51429,                0.37832,                0.40614,                0.23549,                 3.0365,                 3.9928,                 3.0713,               0.003268,               0.003268,               0.003268
                    104,                 2.2485,                  2.461,                 2.3744,                0.51948,                0.41542,                0.41546,                0.24633,                 3.0506,                 3.9379,                 3.0838,               0.003202,               0.003202,               0.003202
                    105,                 2.2668,                 2.4924,                 2.3788,                0.47096,                0.43004,                0.41246,                0.24556,                  3.077,                 3.9124,                 3.0893,               0.003136,               0.003136,               0.003136
                    106,                 2.2347,                 2.4639,                 2.3678,                0.51373,                0.41422,                0.41785,                0.25103,                 3.0564,                 3.9047,                 3.0573,                0.00307,                0.00307,                0.00307
                    107,                 2.2405,                 2.4878,                 2.3694,                 0.4792,                0.43014,                0.41821,                0.24951,                 3.0613,                 3.8856,                 3.0762,               0.003004,               0.003004,               0.003004
                    108,                 2.2375,                 2.4402,                 2.3679,                 0.4997,                 0.4182,                0.41655,                0.24884,                 3.0539,                 3.8813,                 3.0733,               0.002938,               0.002938,               0.002938
                    109,                 2.2354,                 2.4505,                 2.3591,                0.53435,                 0.4152,                 0.4207,                0.25134,                 3.0507,                  3.864,                 3.0781,               0.002872,               0.002872,               0.002872
                    110,                  2.201,                 2.3838,                 2.3462,                0.49624,                0.42625,                0.42563,                0.24742,                 3.0742,                 3.8428,                  3.092,               0.002806,               0.002806,               0.002806
                    111,                 2.2452,                 2.4188,                 2.3559,                0.50501,                0.43206,                0.41719,                0.24978,                 3.0568,                 3.9152,                 3.0562,                0.00274,                0.00274,                0.00274
                    112,                 2.2005,                 2.3892,                   2.36,                0.49205,                0.40015,                0.40794,                 0.2447,                 3.0531,                 3.8981,                 3.0634,               0.002674,               0.002674,               0.002674
                    113,                 2.2141,                 2.3833,                 2.3375,                0.49198,                0.41959,                0.41521,                0.24956,                 3.0349,                 3.8639,                   3.05,               0.002608,               0.002608,               0.002608
                    114,                 2.2066,                 2.3681,                  2.329,                0.52437,                0.40939,                 0.4153,                0.24469,                 3.0505,                 3.9301,                 3.0725,               0.002542,               0.002542,               0.002542
                    115,                 2.1736,                 2.3449,                 2.3356,                0.50134,                0.41883,                 0.4117,                 0.2458,                 3.0556,                 3.9179,                 3.0582,               0.002476,               0.002476,               0.002476
                    116,                 2.1866,                 2.3599,                 2.3323,                0.52221,                0.40393,                 0.4136,                 0.2445,                 3.0607,                 3.9026,                  3.057,                0.00241,                0.00241,                0.00241
